stopid,shortname,fullname,latitude,longitude,buses
4905,Brackenstown Rd,Brackenstown Rd,53.46000111,-6.245193889,"41C,41X,41"
4906,St. Cronan's Avenue,St. Cronan's Avenue,53.46054806,-6.241375,"41,41X,41C"
4907,St. Cronan's Avenue,St. Cronan's Avenue,53.46254,-6.239795,"41C,41X,41"
4908,St. Cronan's Avenue,St. Cronan's Avenue,53.46388611,-6.239456111,"41,41X,41C"
4909,St. Cronan's Avenue,St. Cronan's Avenue,53.46572111,-6.239808056,"41C,41X,41"
4910,St. Cronan's Avenue,St. Cronan's Avenue,53.46663306,-6.239173056,"41,41X,41C"
4911,St. Cronan's Avenue,St. Cronan's Avenue,53.46552,-6.239645,"41C,41X,41"
4912,St. Cronan's Avenue,St. Cronan's Avenue,53.46404889,-6.23935,"41,41X,41C"
4913,St. Cronan's Avenue,St. Cronan's Avenue,53.46151,-6.240441111,"41C,41X,41"
4914,St. Cronan's Avenue,St. Cronan's Avenue,53.45985,-6.241776944,"41,41X,41C"
4915,Brackenstown Rd,Brackenstown Rd,53.45985389,-6.245108056,"41C,41X,41"
4916,New Road,New Road,53.46489111,-6.217118056,41C
4917,New Road,New Road,53.46809194,-6.221803056,"41C,43"
4918,Glen Ellan Road,Glen Ellan Road,53.46870306,-6.22888,"43,41C"
4919,New Road,New Road,53.46960111,-6.23198,"41C,43"
4920,New Road,New Road,53.46834111,-6.236301944,41C
4921,Oatlands,Oatlands,53.46821694,-6.236721944,"41C,41X"
4922,Glen Ellan Road,Glen Ellan Road,53.46936806,-6.230733056,"41X,41C"
4923,Glen Ellan Road,Glen Ellan Road,53.46866694,-6.227846111,"41C,41X,43"
4924,Glen Ellen Est,Glen Ellen Est,53.46825806,-6.220546944,"43,41X,41C"
4925,Forest Road,Forest Road,53.45216083,-6.228601389,"41C,41X,41B"
4926,Forest Road,Forest Road,53.45443861,-6.224606389,"41B,41C"
4927,Killinarden,Killinarden,53.27483306,-6.394335,"65B,77A"
4928,Killinarden,Killinarden,53.27619,-6.394866944,"77A,65B"
4929,Citywest Rd,Citywest Rd,53.28083111,-6.4214,"65B,77A"
4930,Citywest Rd,Citywest Rd,53.28756972,-6.422488333,"77A,65B"
4931,Citywest Rd,Citywest Rd,53.28901889,-6.42536,"65B,77A"
4932,Citywest Rd,Citywest Rd,53.278855,-6.420486944,"77A,77X,65B"
4933,Citywest Rd,Citywest Rd,53.27763889,-6.419253889,"65B,77X,77A"
4934,Dowth Ave,Dowth Ave,53.36285,-6.282838056,120
4935,Faussagh Road,Faussagh Road,53.36409,-6.283323056,120
4936,Dowth Ave,Dowth Ave,53.36134694,-6.283163889,120
4937,McKee Avenue,McKee Avenue,53.39267,-6.300498056,40
4938,Mckee Avenue,Mckee Avenue,53.39086194,-6.298336944,40
4952,UCD,UCD,53.30494889,-6.216826944,"67X,66X,77X,27X,32X"
4953,UCD,UCD,53.30499389,-6.216948056,"25X,41X,51X"
4956,Newcastle Rd,Newcastle Rd,53.07111806,-6.063786111,"84,84X"
4957,Brackenstown Rd,Brackenstown Rd,53.45961806,-6.251215,"41X,41C,41"
4958,Balheary Road,Balheary Road,53.464995,-6.217188056,"41C,41X,43"
4960,Citywest Rd,Citywest Rd,53.28505056,-6.421621389,"65B,77X,77A"
4962,Mountjoy Square,Mountjoy Square,53.35701194,-6.258423056,"7,7D,7B,7A,46E,46A"
4974,Snugborough Road,Aquatic Centre,53.39899889,-6.36942,"38B,38"
4976,Snugborough Road,Indoor Arena,53.40198361,-6.362267222,"38,38B"
4978,Cruiserath Rd,Cruiserath Rd,53.4092575,-6.370998056,40D
4979,Cruiserath Rd,Cruiserath Rd,53.41133667,-6.377823056,40D
4980,Blanchardstown Rd,Blanchardstown Rd N,53.40421556,-6.372995556,"38B,38"
4981,Pearse Villas,Pearse Villas,53.272665,-6.137594722,"7A,7"
4982,Loughlinstown Pk,Loughlinstown Pk,53.24653694,-6.128755,"7,7A"
4984,Burton Hall Rd,Burton Hall Rd,53.27365694,-6.203393333,47
4985,Jamestown Rd,Jamestown Rd,53.402315,-6.29141,140
4986,Tyrrelstown,Tyrrelstown,53.41520333,-6.385243056,40D
4987,Stone Mason's Way,Stone Mason's Way,53.27735861,-6.263341389,116
4988,Stone Mason's Way,Stone Mason's Way,53.27765222,-6.263149444,116
4989,Damastown Drive,Damastown Drive,53.41910972,-6.417893889,"38,38B,38A,38D"
4990,Damastown Rd,Damastown Rd,53.41172611,-6.422981667,"38A,38B,38"
4991,Damastown Rd,Damastown Rd,53.41108556,-6.420071944,"38,38B,38A"
4992,Damastown Way,Damastown Way,53.41067556,-6.417620278,"38A,38B,38"
4994,Warrenstown,Warrenstown,53.40093806,-6.386433056,"38,38B,38A"
4995,Damastown Rd,Damastown Rd,53.40250889,-6.38892,"38A,38B,38"
4996,Castlecurragh,Castlecurragh,53.40383694,-6.390933056,"38,38B,38A"
4997,Castlecurragh,Castlecurragh,53.40454389,-6.392053889,"38A,38B,38"
4998,Castlecurragh,Castlecurragh,53.40312806,-6.389428056,"38,38B,38A"
4999,Warrenstown,Warrenstown,53.40093,-6.38598,"38A,38B,38"
5008,Belgard Square,Belgard Square,53.29045028,-6.369356944,"27,54A,65,77A"
5013,Belarmine Est,Belarmine Est,53.26128306,-6.220425,47
5014,Belarmine Ave,Belarmine Ave,53.25889389,-6.220878889,47
5015,Belarmine Ave,Belarmine Ave,53.25861306,-6.220598056,47
5016,Belarmine Ave,Belarmine Ave,53.261425,-6.219696111,47
5022,Kingswood Ave,Kingswood Ave,53.29338056,-6.422829167,"69,69X"
5023,Kiltipper Wy,Kiltipper Wy,53.27569389,-6.373378889,"77X,54A"
5024,Kiltipper Wy,Kiltipper Wy,53.27067611,-6.371081111,"54A,77X"
5025,The Coombe,The Coombe,53.33976611,-6.277576111,150
5026,Cashel Road,Cashel Road,53.32043028,-6.305244167,"83A,83"
5028,Boroimhe Estate,Boroimhe Estate,53.44464306,-6.231048056,"41X,41C"
5029,Boroimhe Estate,Boroimhe Estate,53.44553194,-6.235226111,"41C,41X"
